EVALUASI SISTEM PEMANTAUAN BANJIR BENDUNGAN CIAWI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pemantauan Per Jam (Maret 2023 – Juli 2026) & Analisis Outflow 100% Konduit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pemutakhiran,,,,,,Metode UPB,,,,,,Pedoman OP & RTD Bendungan,,,,,,
No,Tanggal,Jam,"Elevasi Muka Air Waduk
(m)","Tinggi Sedimen Waduk
(m)","Elevasi Muka Air Outlet 
(m)","Volume Tampungan
(m³)","Debit Keluar Konduit 
(Qout konduit)
(m³/det)","Debit Keluar Spillway 
(Qout spillway)
(m³/det)","Debit Keluar Total 
(Qout total)
(m³/det)","Debit Masuk 
(Q In)
(m³/det)","Reduksi Banjir
(m³/det)",Status Banjir,"Debit Keluar Konduit 
(Qout konduit)
(m³/det)","Debit Keluar Spillway 
(Qout spillway)
(m³/det)","Debit Keluar Total 
(Qout total)
(m³/det)","Debit Masuk 
(Q In)
(m³/det)","Reduksi Banjir
(m³/det)",Status Banjir,"Debit Keluar Konduit SOP 
(Qout konduit SOP)
(m³/det)","Debit Keluar Spillway SOP 
(Qout spillway SOP)
(m³/det)","Debit Keluar Total SOP 
(Qout total SOP)
(m³/det)",Status Banjir SOP,"?Q
(m³/det)","Galat Relatif
?Qrel
(m³/det)",,,
1,3/1/2023,8:00:00 AM,509.40,4.10,,"2,668.64",,,,,,,10.52,0.00,10.52,10.52,0.00,Normal,66.11,0.00,66.11,Siaga Banjir IV,55.59,-0.84,,,
2,3/1/2023,12:00:00 PM,509.30,4.10,,"2,414.67",,,,,,,9.71,0.00,9.71,9.69,0.00,Normal,64.57,0.00,64.57,Siaga Banjir IV,54.86,-0.85,,,
3,3/1/2023,4:00:00 PM,509.70,4.10,,"3,430.56",,,,,,,12.96,0.00,12.96,13.03,0.07,Normal,70.75,0.00,70.75,Siaga Banjir IV,57.79,-0.82,,,
4,3/1/2023,8:00:00 PM,509.70,4.10,,"3,430.56",,,,,,,12.96,0.00,12.96,12.96,0.00,Normal,70.75,0.00,70.75,Siaga Banjir IV,57.79,-0.82,,,
5,3/2/2023,8:00:00 AM,509.70,4.10,,"3,430.56",,,,,,,12.96,0.00,12.96,12.96,0.00,Normal,70.75,0.00,70.75,Siaga Banjir IV,57.79,-0.82,,,
6,3/2/2023,12:00:00 PM,509.40,4.10,,"2,668.64",,,,,,,10.52,0.00,10.52,10.47,0.00,Normal,66.11,0.00,66.11,Siaga Banjir IV,55.59,-0.84,,,
7,3/2/2023,4:00:00 PM,510.50,4.10,,"6,406.53",,,,,,,23.87,0.00,23.87,24.13,0.26,Siaga Banjir IV,82.54,0.00,82.54,Siaga Banjir IV,58.67,-0.71,,,
8,3/2/2023,8:00:00 PM,509.80,4.10,,"3,684.53",,,,,,,13.77,0.00,13.77,13.58,0.00,Normal,72.29,0.00,72.29,Siaga Banjir IV,58.52,-0.81,,,
9,3/3/2023,8:00:00 AM,508.98,4.10,,"1,628.51",,,,,,,6.87,0.00,6.87,6.82,0.00,Normal,59.81,0.00,59.81,Siaga Banjir IV,52.94,-0.89,,,
10,3/3/2023,12:00:00 PM,509.25,4.10,,"2,287.69",,,,,,,9.30,0.00,9.30,9.35,0.05,Normal,63.79,0.00,63.79,Siaga Banjir IV,54.49,-0.85,,,
11,3/3/2023,4:00:00 PM,509.20,4.10,,"2,160.70",,,,,,,8.89,0.00,8.89,8.88,0.00,Normal,63.02,0.00,63.02,Siaga Banjir IV,54.13,-0.86,,,
12,3/3/2023,8:00:00 PM,510.00,4.10,,"4,192.47",,,,,,,20.02,0.00,20.02,20.16,0.14,Siaga Banjir IV,75.38,0.00,75.38,Siaga Banjir IV,55.36,-0.73,,,
13,3/4/2023,8:00:00 AM,509.10,4.10,,"1,906.73",,,,,,,8.08,0.00,8.08,8.03,0.00,Normal,61.48,0.00,61.48,Siaga Banjir IV,53.40,-0.87,,,
14,3/4/2023,12:00:00 PM,509.10,4.10,,"1,906.73",,,,,,,8.08,0.00,8.08,8.08,0.00,Normal,61.48,0.00,61.48,Siaga Banjir IV,53.40,-0.87,,,
15,3/4/2023,4:00:00 PM,509.20,4.10,,"2,160.70",,,,,,,8.89,0.00,8.89,8.91,0.02,Normal,63.02,0.00,63.02,Siaga Banjir IV,54.13,-0.86,,,
16,3/4/2023,8:00:00 PM,509.30,4.10,,"2,414.67",,,,,,,9.71,0.00,9.71,9.72,0.02,Normal,64.57,0.00,64.57,Siaga Banjir IV,54.86,-0.85,,,
17,3/5/2023,8:00:00 AM,509.10,4.10,,"1,906.73",,,,,,,8.08,0.00,8.08,8.07,0.00,Normal,61.48,0.00,61.48,Siaga Banjir IV,53.40,-0.87,,,
18,3/5/2023,12:00:00 PM,510.00,4.10,,"4,192.47",,,,,,,20.02,0.00,20.02,20.18,0.16,Siaga Banjir IV,75.38,0.00,75.38,Siaga Banjir IV,55.36,-0.73,,,
19,3/5/2023,4:00:00 PM,509.60,4.10,,"3,176.59",,,,,,,12.15,0.00,12.15,12.08,0.00,Normal,69.20,0.00,69.20,Siaga Banjir IV,57.05,-0.82,,,
20,3/5/2023,8:00:00 PM,509.00,4.10,,"1,652.76",,,,,,,7.07,0.00,7.07,6.96,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,52.86,-0.88,,,
21,3/6/2023,8:00:00 AM,509.00,4.10,,"1,652.76",,,,,,,7.07,0.00,7.07,7.07,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,52.86,-0.88,,,
22,3/6/2023,12:00:00 PM,509.00,4.10,,"1,652.76",,,,,,,7.07,0.00,7.07,7.07,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,52.86,-0.88,,,
23,3/6/2023,4:00:00 PM,508.90,4.10,,"1,531.49",,,,,,,6.06,0.00,6.06,6.05,0.00,Normal,59.30,0.00,59.30,Siaga Banjir IV,53.24,-0.90,,,
24,3/6/2023,8:00:00 PM,508.90,4.10,,"1,531.49",,,,,,,6.06,0.00,6.06,6.06,0.00,Normal,59.30,0.00,59.30,Siaga Banjir IV,53.24,-0.90,,,
25,3/7/2023,8:00:00 AM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,5.05,0.00,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
26,3/7/2023,12:00:00 PM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,5.05,0.00,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
27,3/7/2023,4:00:00 PM,508.90,4.10,,"1,531.49",,,,,,,6.06,0.00,6.06,6.07,0.01,Normal,59.30,0.00,59.30,Siaga Banjir IV,53.24,-0.90,,,
28,3/7/2023,8:00:00 PM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,5.04,0.00,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
29,3/8/2023,8:00:00 AM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
30,3/8/2023,12:00:00 PM,508.72,4.10,,"1,313.19",,,,,,,4.24,0.00,4.24,4.24,0.00,Normal,58.17,0.00,58.17,Siaga Banjir IV,53.93,-0.93,,,
31,3/8/2023,4:00:00 PM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
32,3/8/2023,8:00:00 PM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
33,3/9/2023,8:00:00 AM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
34,3/9/2023,12:00:00 PM,509.60,4.10,,"3,176.59",,,,,,,12.15,0.00,12.15,12.28,0.13,Normal,69.20,0.00,69.20,Siaga Banjir IV,57.05,-0.82,,,
35,3/9/2023,4:00:00 PM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,4.93,0.00,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
36,3/9/2023,8:00:00 PM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,5.05,0.00,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
37,3/10/2023,8:00:00 AM,508.67,4.10,,"1,252.56",,,,,,,3.74,0.00,3.74,3.73,0.00,Normal,57.86,0.00,57.86,Siaga Banjir IV,54.12,-0.94,,,
38,3/10/2023,12:00:00 PM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
39,3/10/2023,4:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.02,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
40,3/10/2023,8:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
41,3/11/2023,8:00:00 AM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.04,0.00,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
42,3/11/2023,12:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.02,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
43,3/11/2023,4:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
44,3/11/2023,8:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
45,3/12/2023,8:00:00 AM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
46,3/12/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.01,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
47,3/12/2023,4:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
48,3/12/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
49,3/13/2023,8:00:00 AM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
